time,open,high,low,close,#1,#2,#3,#5
1761224040,24990.25,25004.25,24989.75,24999,25012.25,25065.75,24843,21269
1761224220,24998,25011.75,24992.25,25008.25,25012.25,25065.75,24843,21269
1761224400,25008,25013.5,24999.25,25004,25012.25,25065.75,24843,21269
1761224580,25002.75,25013,24994.5,24995.25,25012.25,25065.75,24843,21269
1761224760,24995.25,25002.25,24961.25,24966,25012.25,25065.75,24843,21269
1761224940,24966.25,24975.25,24940.75,24958,25012.25,25065.75,24843,21269
1761225120,24957.75,24981.25,24957.75,24979.25,25012.25,25065.75,24843,21269
1761225300,24978.5,24987.25,24974,24986.75,25012.25,25065.75,24843,21269
1761225480,24985.75,24992.75,24984.75,24991,25012.25,25065.75,24843,21269
1761225660,24990.25,25004.5,24987.25,24999,25012.25,25065.75,24843,21269
1761225840,24999.5,25009.25,24997,25008.25,25012.25,25065.75,24843,21269
1761226020,25008.25,25019.25,25003.25,25016,25012.25,25065.75,24843,21269
1761226200,25016.25,25043,24999,25029.5,25012.25,25065.75,24843,21269
1761226380,25029,25045.5,25017,25044.75,25012.25,25065.75,24843,21269
1761226560,25044.75,25068.75,25038.25,25068.5,25012.25,25065.75,24843,21269
1761226740,25068.5,25082.5,25060.75,25078.75,25012.25,25065.75,24843,21269
1761226920,25078.75,25092.25,25057,25092.25,25012.25,25065.75,24843,21269
1761227100,25092,25120.25,25091.25,25113,25012.25,25065.75,24843,21269
1761227280,25112.75,25162,25111,25161,25012.25,25065.75,24843,21269
1761227460,25161.5,25163.25,25145.5,25150,25012.25,25065.75,24843,21269
1761227640,25149.75,25179.75,25148.5,25173.75,25012.25,25065.75,24843,21269
1761227820,25173.5,25173.5,25147.5,25160.5,25012.25,25065.75,24843,21269
1761228000,25160.75,25176.5,25137.5,25149.25,25012.25,25065.75,24843,21269
1761228180,25150,25169.25,25139.5,25148.5,25012.25,25065.75,24843,21269
1761228360,25148,25151.5,25122.5,25138.25,25012.25,25065.75,24843,21269
1761228540,25138.5,25139,25102,25116.5,25012.25,25065.75,24843,21269
1761228720,25116.5,25146.25,25114.5,25137,25012.25,25065.75,24843,21269
1761228900,25136.5,25145.25,25107,25119,25012.25,25065.75,24843,21269
1761229080,25119,25127,25086,25099,25012.25,25065.75,24843,21269
1761229260,25099.25,25140.25,25084,25139,25012.25,25065.75,24843,21269
1761229440,25138.75,25168.75,25127.75,25161,25012.25,25065.75,24843,21269
1761229620,25161.25,25162.75,25141.5,25147.25,25012.25,25065.75,24843,21269
1761229800,25147,25155.5,25133.75,25145.5,25012.25,25065.75,24843,21269
1761229980,25146.25,25170,25143,25163.5,25012.25,25065.75,24843,21269
1761230160,25163.75,25190,25158.75,25187.75,25012.25,25065.75,24843,21269
1761230340,25188,25190.25,25176.25,25187.5,25012.25,25065.75,24843,21269
1761230520,25187,25187.75,25157.75,25164.5,25012.25,25065.75,24843,21269
1761230700,25164.25,25192.25,25142.75,25188,25012.25,25065.75,24843,21269
1761230880,25187.75,25198.5,25185.75,25190.25,25012.25,25065.75,24843,21269
1761231060,25189.5,25189.75,25156.5,25164,25012.25,25065.75,24843,21269
1761231240,25164.25,25168.5,25150.5,25153.5,25012.25,25065.75,24843,21269
1761231420,25152.5,25190.25,25147.25,25190,25012.25,25065.75,24843,21269
1761231600,25189.75,25194.25,25166.5,25174.5,25012.25,25065.75,24843,21269
1761231780,25174.75,25185,25172.5,25180.25,25012.25,25065.75,24843,21269
1761231960,25179.75,25189.75,25168.5,25188,25012.25,25065.75,24843,21269
1761232140,25187.75,25193,25179,25184,25012.25,25065.75,24843,21269
1761232320,25184,25185,25160.5,25173,25012.25,25065.75,24843,21269
1761232500,25172.75,25177.5,25155.75,25156.75,25012.25,25065.75,24843,21269
1761232680,25157,25160.5,25147,25148.25,25012.25,25065.75,24843,21269
1761232860,25148.75,25171.5,25140.5,25169.25,25012.25,25065.75,24843,21269
1761233040,25169,25174.75,25157.25,25160.25,25012.25,25065.75,24843,21269
1761233220,25159.75,25185.5,25156,25179.75,25012.25,25065.75,24843,21269
1761233400,25180,25205.25,25180,25192.75,25012.25,25065.75,24843,21269
1761233580,25192.75,25204.75,25182.75,25187.75,25012.25,25065.75,24843,21269
1761233760,25186.75,25188.5,25156,25173.75,25012.25,25065.75,24843,21269
1761233940,25173.5,25175,25163,25172.25,25012.25,25065.75,24843,21269
1761234120,25172,25177,25119.5,25128.5,25012.25,25065.75,24843,21269
1761234300,25128.5,25153.25,25123,25147.5,25012.25,25065.75,24843,21269
1761234480,25147,25173,25143.75,25165,25012.25,25065.75,24843,21269
1761234660,25164.75,25200,25164,25194.75,25012.25,25065.75,24843,21269
1761234840,25195.5,25216.5,25190.25,25212.5,25012.25,25065.75,24843,21269
1761235020,25213,25215.75,25186.5,25193.75,25012.25,25065.75,24843,21269
1761235200,25194.75,25201.75,25187.25,25197.5,25012.25,25065.75,24843,21269
1761235380,25198,25208.5,25194.5,25206.25,25012.25,25065.75,24843,21269
1761235560,25206.75,25224.75,25206.5,25216.75,25012.25,25065.75,24843,21269
1761235740,25216.75,25222.75,25208.5,25222.25,25012.25,25065.75,24843,21269
1761235920,25222.75,25224,25213.75,25222.75,25012.25,25065.75,24843,21269
1761236100,25223.25,25226.75,25211.75,25220.75,25012.25,25065.75,24843,21269
1761236280,25221.25,25225,25210.75,25219.75,25012.25,25065.75,24843,21269
1761236460,25220,25220.75,25206.75,25207,25012.25,25065.75,24843,21269
1761236640,25207.25,25212.75,25200.75,25206.5,25012.25,25065.75,24843,21269
1761236820,25205.5,25206,25183.75,25200.5,25012.25,25065.75,24843,21269
1761237000,25200.75,25218.5,25198.25,25218.25,25012.25,25065.75,24843,21269
1761237180,25217.75,25218,25203.25,25205,25012.25,25065.75,24843,21269
1761237360,25205.5,25218.25,25203.75,25217,25012.25,25065.75,24843,21269
1761237540,25217,25222.75,25215.25,25217.5,25012.25,25065.75,24843,21269
1761237720,25217.5,25230.25,25217,25228.25,25012.25,25065.75,24843,21269
1761237900,25228.5,25232.5,25216,25225.25,25012.25,25065.75,24843,21269
1761238080,25225.5,25229,25222,25227.75,25012.25,25065.75,24843,21269
1761238260,25227.75,25237.75,25227.75,25234.75,25012.25,25065.75,24843,21269
1761238440,25234.5,25238.75,25231.75,25235.5,25012.25,25065.75,24843,21269
1761238620,25236,25241.25,25232.5,25240,25012.25,25065.75,24843,21269
1761238800,25240,25248.5,25235.75,25238.25,25012.25,25065.75,24843,21269
1761238980,25238.25,25239.25,25228,25230,25012.25,25065.75,24843,21269
1761239160,25230.75,25241.5,25194.25,25199.75,25012.25,25065.75,24843,21269
1761239340,25199,25235,25189.5,25227,25012.25,25065.75,24843,21269
1761239520,25226.75,25245.75,25225.25,25236.5,25012.25,25065.75,24843,21269
1761239700,25236.25,25242.5,25221.75,25229.75,25012.25,25065.75,24843,21269
1761239880,25230,25232,25220.25,25227.25,25012.25,25065.75,24843,21269
1761240060,25226.75,25230.25,25217.5,25222.25,25012.25,25065.75,24843,21269
1761240240,25221.75,25225.25,25199,25204,25012.25,25065.75,24843,21269
1761240420,25204.25,25215.75,25199,25207,25012.25,25065.75,24843,21269
1761240600,25207.25,25224.75,25204.75,25219.25,25012.25,25065.75,24843,21269
1761240780,25218.75,25242.75,25216.75,25237.75,25012.25,25065.75,24843,21269
1761240960,25237,25264,25236,25263,25012.25,25065.75,24843,21269
1761241140,25263,25274.5,25252.75,25262.25,25012.25,25065.75,24843,21269
1761241320,25262.75,25267.5,25257.5,25266.25,25012.25,25065.75,24843,21269
1761241500,25266.5,25276,25265.5,25267.75,25012.25,25065.75,24843,21269
1761241680,25267.75,25276.75,25267.5,25274.75,25012.25,25065.75,24843,21269
1761241860,25275,25279.75,25271.25,25277.75,25012.25,25065.75,24843,21269
1761242040,25277.5,25282.75,25274.5,25281.75,25012.25,25065.75,24843,21269
1761242220,25281.5,25283.25,25276.5,25278.75,25012.25,25065.75,24843,21269
1761242400,25279.5,25282.75,25259.5,25261.75,25012.25,25065.75,24843,21269
1761242580,25261.5,25271.5,25260.5,25262.75,25012.25,25065.75,24843,21269
1761242760,25262.75,25267.75,25258,25262.5,25012.25,25065.75,24843,21269
1761242940,25262.75,25266.25,25257.75,25260.75,25012.25,25065.75,24843,21269
1761243120,25260.75,25264.75,25258.75,25261.75,25012.25,25065.75,24843,21269
1761243300,25261.5,25269,25245.5,25264.75,25012.25,25065.75,24843,21269
